year;respondent;judge
1997;DEU;BERNHARDT
1998;DEU;
1999;DEU;RESS
2000;DEU;RESS
2001;DEU;RESS
2002;DEU;RESS
2003;DEU;RESS
2004;DEU;
2005;DEU;JAEGER
2006;DEU;JAEGER
2007;DEU;JAEGER
2008;DEU;JAEGER
2009;DEU;JAEGER
2010;DEU;JAEGER
2011;DEU;NUSSBERGER
2012;DEU;NUSSBERGER
2013;DEU;NUSSBERGER
2014;DEU;NUSSBERGER
2015;DEU;NUSSBERGER
2016;DEU;NUSSBERGER
2017;DEU;NUSSBERGER
2018;DEU;NUSSBERGER
2019;DEU;NUSSBERGER
2020;DEU;SEIBERT-FOHR
1990;GRC;VALTICOS
1991;GRC;VALTICOS
1992;GRC;VALTICOS
1993;GRC;VALTICOS
1994;GRC;VALTICOS
1995;GRC;VALTICOS
1996;GRC;VALTICOS
1997;GRC;VALTICOS
1998;GRC;
1999;GRC;ROZAKIS
2000;GRC;ROZAKIS
2001;GRC;ROZAKIS
2002;GRC;ROZAKIS
2003;GRC;ROZAKIS
2004;GRC;ROZAKIS
2005;GRC;ROZAKIS
2006;GRC;ROZAKIS
2007;GRC;ROZAKIS
2008;GRC;ROZAKIS
2009;GRC;ROZAKIS
2010;GRC;ROZAKIS
2011;GRC;
2012;GRC;SICILIANOS
2013;GRC;SICILIANOS
2014;GRC;SICILIANOS
2015;GRC;SICILIANOS
2016;GRC;SICILIANOS
2017;GRC;SICILIANOS
2018;GRC;SICILIANOS
2019;GRC;SICILIANOS (president)
2020;GRC;SICILIANOS (president)
1991;HUN;BAKA
1992;HUN;BAKA
1993;HUN;BAKA
1994;HUN;BAKA
1995;HUN;BAKA
1996;HUN;BAKA
1997;HUN;BAKA
1998;HUN;BAKA
1999;HUN;BAKA
2000;HUN;BAKA
2001;HUN;BAKA
2002;HUN;BAKA
2003;HUN;BAKA
2004;HUN;BAKA
2005;HUN;BAKA
2006;HUN;BAKA
2007;HUN;BAKA
2008;HUN;
2009;HUN;SAJO
2010;HUN;SAJO
2011;HUN;SAJO
2012;HUN;SAJO
2013;HUN;SAJO
2014;HUN;SAJO
2015;HUN;SAJO
2016;HUN;SAJO
2017;HUN;
2018;HUN;PACZOLAY
2019;HUN;PACZOLAY
2020;HUN;PACZOLAY
1990;ISL;VILHJALMSSON
1991;ISL;VILHJALMSSON
1992;ISL;VILHJALMSSON
1993;ISL;VILHJALMSSON
1994;ISL;VILHJALMSSON
1995;ISL;VILHJALMSSON
1996;ISL;VILHJALMSSON
1997;ISL;VILHJALMSSON
1998;ISL;
1999;ISL;JORUNDSSON
2000;ISL;JORUNDSSON
2001;ISL;JORUNDSSON
2002;ISL;JORUNDSSON
2003;ISL;JORUNDSSON
2004;ISL;
2005;ISL;THOR BJORGVINSSON
2006;ISL;THOR BJORGVINSSON
2007;ISL;THOR BJORGVINSSON
2008;ISL;THOR BJORGVINSSON
2009;ISL;THOR BJORGVINSSON
2010;ISL;THOR BJORGVINSSON
2011;ISL;THOR BJORGVINSSON
2012;ISL;THOR BJORGVINSSON
2013;ISL;
2014;ISL;SPANO
2015;ISL;SPANO
2016;ISL;SPANO
2017;ISL;SPANO
2018;ISL;SPANO
2019;ISL;SPANO
2020;ISL;SPANO
1990;IRL;WALSH
1991;IRL;WALSH
1992;IRL;WALSH
1993;IRL;WALSH
1994;IRL;WALSH
1995;IRL;WALSH
1996;IRL;WALSH
1997;IRL;WALSH
1998;IRL;
1999;IRL;HEDIGAN
2000;IRL;HEDIGAN
2001;IRL;HEDIGAN
2002;IRL;HEDIGAN
2003;IRL;HEDIGAN
2004;IRL;HEDIGAN
2005;IRL;HEDIGAN
2006;IRL;HEDIGAN
2007;IRL;HEDIGAN
2008;IRL;POWER-FORDE
2009;IRL;POWER-FORDE
2010;IRL;POWER-FORDE
2011;IRL;POWER-FORDE
2012;IRL;POWER-FORDE
2013;IRL;POWER-FORDE
2014;IRL;POWER-FORDE
2015;IRL;OÕLEARY
2016;IRL;OÕLEARY
2017;IRL;OÕLEARY
2018;IRL;OÕLEARY
2019;IRL;OÕLEARY
2020;IRL;OÕLEARY
1990;ITA;RUSSO
1991;ITA;RUSSO
1992;ITA;RUSSO
1993;ITA;RUSSO
1994;ITA;RUSSO
1995;ITA;RUSSO
1996;ITA;RUSSO
1997;ITA;RUSSO
1998;ITA;
1999;ITA;CONFORTI
2000;ITA;CONFORTI
2001;ITA;
2002;ITA;ZAGREBELSKY
2003;ITA;ZAGREBELSKY
2004;ITA;ZAGREBELSKY
2005;ITA;ZAGREBELSKY
2006;ITA;ZAGREBELSKY
2007;ITA;ZAGREBELSKY
2008;ITA;ZAGREBELSKY
2009;ITA;ZAGREBELSKY
2010;ITA;
2011;ITA;RAIMONDI
2012;ITA;RAIMONDI
2013;ITA;RAIMONDI
2014;ITA;RAIMONDI
2015;ITA;RAIMONDI (president)
2016;ITA;RAIMONDI (president)
2017;ITA;RAIMONDI (president)
2018;ITA;RAIMONDI (president)
2019;ITA;
2020;ITA;SABATO
1995;LVA;LEVITS
1996;LVA;LEVITS
1997;LVA;LEVITS
1998;LVA;LEVITS
1999;LVA;LEVITS
2000;LVA;LEVITS
2001;LVA;LEVITS
2002;LVA;LEVITS
2003;LVA;LEVITS
2004;LVA;LEVITS
2005;LVA;ZIEMELE
2006;LVA;ZIEMELE
2007;LVA;ZIEMELE
2008;LVA;ZIEMELE
2009;LVA;ZIEMELE
2010;LVA;ZIEMELE
2011;LVA;ZIEMELE
2012;LVA;ZIEMELE
2013;LVA;ZIEMELE
2014;LVA;ZIEMELE
2015;LVA;MITS
2016;LVA;MITS
2017;LVA;MITS
2018;LVA;MITS
2019;LVA;MITS
2020;LVA;MITS
1990;LIE;MACDONALD
1991;LIE;MACDONALD
1992;LIE;MACDONALD
1993;LIE;MACDONALD
1994;LIE;MACDONALD
1995;LIE;MACDONALD
1996;LIE;MACDONALD
1997;LIE;MACDONALD
1998;LIE;
1999;LIE;CAFLISCH
2000;LIE;CAFLISCH
2001;LIE;CAFLISCH
2002;LIE;CAFLISCH
2003;LIE;CAFLISCH
2004;LIE;CAFLISCH
2005;LIE;CAFLISCH
2006;LIE;
2007;LIE;VILLIGER
2008;LIE;VILLIGER
2009;LIE;VILLIGER
2010;LIE;VILLIGER
2011;LIE;VILLIGER
2012;LIE;VILLIGER
2013;LIE;VILLIGER
2014;LIE;VILLIGER
2015;LIE;
2016;LIE;RANZONI
2017;LIE;RANZONI
2018;LIE;RANZONI
2019;LIE;RANZONI
2020;LIE;RANZONI
1994;LTU;P. KURIS
1995;LTU;P. KURIS
1996;LTU;P. KURIS
1997;LTU;P. KURIS
1998;LTU;P. KURIS
1999;LTU;P. KURIS
2000;LTU;P. KURIS
2001;LTU;P. KURIS
2002;LTU;P. KURIS
2003;LTU;P. KURIS
2004;LTU;
2005;LTU;JOCIENE
2006;LTU;JOCIENE
2007;LTU;JOCIENE
2008;LTU;JOCIENE
2009;LTU;JOCIENE
2010;LTU;JOCIENE
2011;LTU;JOCIENE
2012;LTU;JOCIENE
2013;LTU;
2014;LTU;E. KURIS
2015;LTU;E. KURIS
2016;LTU;E. KURIS
2017;LTU;E. KURIS
2018;LTU;E. KURIS
2019;LTU;E. KURIS
2020;LTU;E. KURIS
1990;LUX;A. SPIELMANN
1991;LUX;A. SPIELMANN
1992;LUX;A. SPIELMANN
1993;LUX;A. SPIELMANN
1994;LUX;A. SPIELMANN
1995;LUX;A. SPIELMANN
1996;LUX;A. SPIELMANN
1997;LUX;A. SPIELMANN
1998;LUX;
1999;LUX;FISCHBACH
2000;LUX;FISCHBACH
2001;LUX;FISCHBACH
2002;LUX;FISCHBACH
2003;LUX;FISCHBACH
2004;LUX;
2005;LUX;D. SPIELMANN
2006;LUX;D. SPIELMANN
2007;LUX;D. SPIELMANN
2008;LUX;D. SPIELMANN
2009;LUX;D. SPIELMANN
2010;LUX;D. SPIELMANN
2011;LUX;D. SPIELMANN
2012;LUX;D. SPIELMANN (president)
2013;LUX;D. SPIELMANN (president)
2014;LUX;D. SPIELMANN (president)
2015;LUX;
2016;LUX;RAVARANI
2017;LUX;RAVARANI
2018;LUX;RAVARANI
2019;LUX;RAVARANI
2020;LUX;RAVARANI
1990;MLT;CREMONA
1991;MLT;CREMONA
1992;MLT;
1993;MLT;MIFSUD BONNICI
1994;MLT;MIFSUD BONNICI
1995;MLT;MIFSUD BONNICI
1996;MLT;MIFSUD BONNICI
1997;MLT;MIFSUD BONNICI
1998;MLT;
1999;MLT;BONELLO
2000;MLT;BONELLO
2001;MLT;BONELLO
2002;MLT;BONELLO
2003;MLT;BONELLO
2004;MLT;BONELLO
2005;MLT;BONELLO
2006;MLT;BONELLO
2007;MLT;BONELLO
2008;MLT;BONELLO
2009;MLT;BONELLO
2010;MLT;
2011;MLT;DE GAETANO
2012;MLT;DE GAETANO
2013;MLT;DE GAETANO
2014;MLT;DE GAETANO
2015;MLT;DE GAETANO
2016;MLT;DE GAETANO
2017;MLT;DE GAETANO
2018;MLT;DE GAETANO
2019;MLT;
2020;MLT;SCHEMBRI ORLAND
1996;MDA;PANTIRU
1997;MDA;PANTIRU
1998;MDA;PANTIRU
1999;MDA;PANTIRU
2000;MDA;PANTIRU
2001;MDA;
2002;MDA;PAVLOVSCHI
2003;MDA;PAVLOVSCHI
2004;MDA;PAVLOVSCHI
2005;MDA;PAVLOVSCHI
2006;MDA;PAVLOVSCHI
2007;MDA;PAVLOVSCHI
2008;MDA;
2009;MDA;POALELUNGI
2010;MDA;POALELUNGI
2011;MDA;POALELUNGI
2012;MDA;
2013;MDA;GRITCO
2014;MDA;GRITCO
2015;MDA;GRITCO
2016;MDA;GRITCO
2017;MDA;GRITCO
2018;MDA;GRITCO
2019;MDA;GRITCO
2020;MDA;GRITCO
2006;MCO;BERRO
2007;MCO;BERRO
2008;MCO;BERRO
2009;MCO;BERRO
2010;MCO;BERRO
2011;MCO;BERRO
2012;MCO;BERRO
2013;MCO;BERRO
2014;MCO;BERRO
2015;MCO;
2016;MCO;MOUROU-VIKSTROM
2017;MCO;MOUROU-VIKSTROM
2018;MCO;MOUROU-VIKSTROM
2019;MCO;MOUROU-VIKSTROM
2020;MCO;MOUROU-VIKSTROM
2008;MNE;VUCINIC
2009;MNE;VUCINIC
2010;MNE;VUCINIC
2011;MNE;VUCINIC
2012;MNE;VUCINIC
2013;MNE;VUCINIC
2014;MNE;VUCINIC
2015;MNE;VUCINIC
2016;MNE;VUCINIC
2017;MNE;VUCINIC
2018;MNE;
2019;MNE;JELIC
2020;MNE;JELIC
1990;NLD;MARTENS
1991;NLD;MARTENS
1992;NLD;MARTENS
1993;NLD;MARTENS
1994;NLD;MARTENS
1995;NLD;MARTENS
1996;NLD;
1997;NLD;VAN DIJK
1998;NLD;
1999;NLD;THOMASSEN
2000;NLD;THOMASSEN
2001;NLD;THOMASSEN
2002;NLD;THOMASSEN
2003;NLD;THOMASSEN
2004;NLD;
2005;NLD;MYJER
2006;NLD;MYJER
2007;NLD;MYJER
2008;NLD;MYJER
2009;NLD;MYJER
2010;NLD;MYJER
2011;NLD;MYJER
2012;NLD;
2013;NLD;SILVIS
2014;NLD;SILVIS
2015;NLD;SILVIS
2016;NLD;SILVIS
2017;NLD;SCHUKKING
2018;NLD;SCHUKKING
2019;NLD;SCHUKKING
2020;NLD;SCHUKKING
1998;MKD;TSATSA-NIKOLOVSKA
1999;MKD;TSATSA-NIKOLOVSKA
2000;MKD;TSATSA-NIKOLOVSKA
2001;MKD;TSATSA-NIKOLOVSKA
2002;MKD;TSATSA-NIKOLOVSKA
2003;MKD;TSATSA-NIKOLOVSKA
2004;MKD;TSATSA-NIKOLOVSKA
2005;MKD;TSATSA-NIKOLOVSKA
2006;MKD;TSATSA-NIKOLOVSKA
2007;MKD;TSATSA-NIKOLOVSKA
2008;MKD;
2009;MKD;LAZAROVA TRAJKOVSKA
2010;MKD;LAZAROVA TRAJKOVSKA
2011;MKD;LAZAROVA TRAJKOVSKA
2012;MKD;LAZAROVA TRAJKOVSKA
2013;MKD;LAZAROVA TRAJKOVSKA
2014;MKD;LAZAROVA TRAJKOVSKA
2015;MKD;LAZAROVA TRAJKOVSKA
2016;MKD;LAZAROVA TRAJKOVSKA
2017;MKD;
